frame,G908R_febuxostat_rep1,G908R_febuxostat_rep2,G908R_febuxostat_rep3,G908R_natural_rep1,G908R_natural_rep2,G908R_natural_rep3,R702W_febuxostat_rep1,R702W_febuxostat_rep2,R702W_febuxostat_rep3,R702W_natural_rep1,R702W_natural_rep2,R702W_natural_rep3
82,23.1475,16.9237,16.2496,27.2251,19.4913,20.6477,23.3996,15.8159,19.8033,18.3275,22.6030,27.3388
83,23.4508,17.4666,16.3719,26.3738,19.3058,20.5058,23.7439,15.4619,19.4583,18.8699,22.9184,26.5973
84,20.1023,17.8841,16.4238,26.9423,18.4931,21.1080,24.0894,15.6059,19.1963,19.5122,22.6308,26.8481
85,20.0570,18.2800,16.2130,26.6164,16.3468,21.2092,23.9720,15.6930,19.2814,20.5930,22.2238,27.2332
86,19.7472,18.4463,16.6265,26.4775,15.6692,20.6629,23.0053,15.9224,18.3886,20.8429,22.6427,27.0568
87,19.7281,18.7814,17.7225,26.6298,15.8812,20.6006,23.1374,15.6250,17.9383,21.1046,21.6059,27.4964
88,19.3378,18.5025,17.8469,26.7729,16.2567,19.9672,22.9989,15.8249,18.5127,21.0688,22.7918,27.5098
89,19.4963,19.5605,17.5385,27.1664,18.3453,20.4900,22.5343,15.5250,17.9929,21.9654,22.6015,26.5838
90,19.7661,19.3008,17.7557,26.6844,19.2840,20.7893,22.6193,15.8361,18.6211,21.6635,22.3492,25.8443
91,19.6554,18.5519,17.7120,27.7089,18.7431,20.5649,22.6848,16.1612,17.8444,21.9605,22.4940,26.2947
92,19.7748,20.0675,17.8634,27.3385,18.5023,20.9290,22.8474,15.6072,17.4980,22.1513,22.0521,26.2023
93,22.1562,20.8608,17.9854,28.2049,18.5604,20.9238,23.4836,15.6655,17.6055,21.6090,21.5770,25.9397
94,19.0164,21.0967,17.6898,28.8322,17.2182,20.9764,23.1102,15.6922,16.9776,21.6305,21.5965,25.6106
95,19.6927,20.4345,18.2560,28.7558,17.0896,21.4413,22.4187,15.6601,17.3763,21.2785,21.8664,24.7386
96,19.3339,20.4606,17.1081,29.3748,17.2074,21.0343,22.6049,15.2621,17.4280,21.1314,21.6283,24.2794
97,19.3415,21.0035,17.3960,29.6281,17.2799,19.6893,22.2623,15.4977,17.4019,21.1976,21.4749,23.7600
98,19.5551,20.8496,17.3401,28.8843,19.6770,19.4274,21.9605,15.8107,17.3651,21.4356,22.1923,24.2253
99,20.1010,20.4391,17.4901,29.1169,19.0847,18.2600,22.0685,16.0291,18.0958,21.5765,23.1451,23.3649
100,20.3188,20.7627,16.9967,29.5969,20.1934,19.3668,22.2362,16.3753,18.0312,21.0238,22.2589,23.3621
101,20.9500,21.0315,17.1612,28.9413,20.1660,20.2043,21.7862,15.8100,18.2958,20.1027,23.5410,23.2246
102,21.5251,22.0785,17.0832,28.9525,20.3872,20.3123,22.1948,17.1030,17.8077,21.1004,22.4493,24.9580
103,21.0783,22.4033,17.2113,29.4527,19.3259,16.8691,21.8981,16.0414,18.4568,21.7081,23.0851,24.8804
104,20.2525,21.7328,17.7687,29.6062,19.0995,19.9586,22.0141,16.9441,18.8045,21.9607,22.4117,25.3914
105,21.0372,22.3404,17.9901,29.3065,19.0057,20.7702,21.7319,16.2395,18.8264,21.9352,22.2759,25.3774
106,20.8801,21.5279,17.6391,29.6608,19.6099,20.4479,21.7091,15.9045,19.1224,21.1092,21.7315,26.2199
107,20.7161,21.9075,17.4024,28.9126,19.6627,20.3033,22.4121,15.9638,20.2390,21.4673,21.8361,25.3924
108,21.8021,22.4020,17.9836,29.2254,20.2263,19.7970,22.2843,16.0973,20.2037,21.5192,22.0454,22.4857
109,22.2557,22.3566,17.7587,29.2405,20.7872,19.4661,22.3458,15.9328,20.3038,20.9665,21.3442,22.3253
110,22.8004,23.1935,17.9913,28.8785,20.4417,19.0222,22.6489,15.2371,19.5478,21.0708,21.2910,21.0992
111,22.0084,22.3265,18.5207,29.2032,20.8061,19.3822,22.1868,15.6455,20.2028,21.6785,20.8768,22.2899
112,21.2951,21.6736,17.7958,28.7604,20.8882,19.2230,21.9401,15.0859,20.5520,20.8067,20.6901,22.6273
113,21.6714,22.2365,17.8041,29.1329,20.3184,19.1434,21.6577,15.3528,20.5310,22.4776,20.4756,23.1817
114,22.4064,22.1991,16.9906,29.0358,21.8744,19.5057,21.6689,15.1183,19.5424,22.5987,20.4061,22.7205
115,22.1214,22.1254,16.0935,29.2470,20.5356,18.5132,21.4674,15.2844,20.3514,22.7228,20.5273,27.3328
116,22.4171,21.0577,17.3364,29.2004,20.6826,18.1313,21.4063,15.3569,19.3968,22.0841,20.6938,27.0939
117,22.8969,21.1169,16.4540,28.3527,20.7468,19.2525,20.6583,15.6053,19.9642,21.0237,20.2115,26.2066
118,22.6823,21.4077,16.6532,29.1588,20.7201,19.1306,18.8393,16.0259,19.2119,20.3472,20.8732,25.8861
119,22.4149,20.1631,16.4448,28.8451,21.2453,19.2557,19.4855,16.3487,19.9449,20.1329,20.2681,26.5266
120,22.3381,20.1133,16.1119,28.9011,20.8048,17.1914,20.1650,15.7481,19.8044,20.3289,20.7868,25.9613
121,21.9979,21.3323,15.9481,29.1425,21.4450,17.9732,19.5217,15.1433,19.9620,19.9695,20.7421,25.9304
122,17.4689,20.7472,15.7567,30.0673,19.8939,17.7681,19.4388,15.7234,19.7806,21.2101,20.7965,26.2192
123,17.9682,20.2972,15.6725,29.7301,20.4890,18.5215,19.3166,15.5366,19.5862,21.3438,21.0082,25.2738
124,17.5690,20.0920,16.5324,32.7632,20.3269,18.1737,19.6696,15.5764,20.6307,20.6561,21.4000,26.2540
125,17.8165,19.1714,16.6076,30.6309,22.1107,17.9398,19.2949,14.3745,19.8537,19.3764,21.5369,26.1917
126,18.0474,18.2738,16.0912,32.0486,22.2822,18.0019,21.0033,14.8565,19.6033,20.9570,21.0092,26.1529
127,17.2057,17.9189,17.9482,32.4738,21.3087,17.7364,19.3711,14.7028,19.3690,20.2379,20.3587,26.0869
128,18.6895,16.3003,17.2543,34.4775,21.4816,16.9112,19.5711,16.0467,18.6554,20.4658,20.2351,26.6159
129,18.2335,15.8796,17.2654,32.8662,22.7421,17.1013,20.0193,15.3524,18.5043,21.6473,20.3997,27.5694
130,17.8024,16.7089,16.6509,30.3309,22.3931,17.2014,20.3147,15.4383,18.4038,21.6470,20.1958,27.1563
131,17.9239,16.0517,16.5450,29.4431,21.4530,17.4802,20.0171,15.4367,18.1899,21.6818,20.1636,27.5022
132,18.4361,15.8151,16.6827,34.6070,22.2238,18.5488,20.1954,16.6563,17.5826,22.6056,19.7987,26.1612
133,18.8061,15.6422,15.9108,30.4584,22.2581,17.7831,20.1837,15.9323,17.6488,22.5036,18.6707,26.1987
134,18.1089,18.8645,17.2970,30.3336,21.6818,18.3656,20.3481,14.9074,17.6324,22.2780,19.0638,26.4714
135,17.9171,20.4042,15.7300,33.7974,22.2264,17.9375,22.8055,15.4892,17.4696,22.8656,19.2812,26.6413
