#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
33.8%,1687500,6749.999999868031,-3490640.2712811492,570514.1219939957,311.84831872124465,112,2:50:12
33.8%,1690000,6759.999999867795,-3490390.6553324256,569365.6778327695,311.2205684745515,112,2:50:04
33.9%,1692500,6769.9999998675585,-3491284.01025695,566377.7550609353,309.58734213195237,112,2:49:56
33.9%,1695000,6779.999999867322,-3488227.40386251,565539.2834089391,309.12902573821174,112,2:49:48
34.0%,1697500,6789.9999998670855,-3489387.8168979287,567440.4786485515,310.16823671683176,112,2:49:41
34.0%,1700000,6799.999999866849,-3487294.9187682997,568731.9530652082,310.87416862978466,112,2:49:33
34.0%,1702500,6809.999999866613,-3490625.006570535,566912.5147226134,309.8796467305334,112,2:49:25
34.1%,1705000,6819.999999866376,-3487748.198636504,568621.2073729564,310.8136340056572,112,2:49:17
34.1%,1707500,6829.99999986614,-3487309.9366114233,569777.3727136407,311.4456047207659,112,2:49:09
34.2%,1710000,6839.999999865903,-3487058.4627262224,567547.326977742,310.2266410061065,112,2:49:02
34.2%,1712500,6849.999999865667,-3485089.776508525,569025.3015742914,311.03451564983266,112,2:48:54
34.3%,1715000,6859.99999986543,-3482885.0568295624,568650.7988197592,310.82980896536145,112,2:48:47
34.4%,1717500,6869.999999865194,-3487987.0634902082,569234.4207751243,311.1488221475651,112,2:48:39
34.4%,1720000,6879.999999864957,-3487471.161290165,569228.1284293643,311.14538269292166,112,2:48:31
34.5%,1722500,6889.999999864721,-3492288.32480298,568504.1188931483,310.74963235493175,112,2:48:23
34.5%,1725000,6899.999999864484,-3489644.7914204653,570322.2442534508,311.7434365658655,112,2:48:16
34.5%,1727500,6909.999999864248,-3490957.2162082177,568475.1030631326,310.73377203271036,112,2:48:08
34.6%,1730000,6919.999999864011,-3486391.815902896,569895.9463255813,311.51041815851073,112,2:48:00
34.6%,1732500,6929.999999863775,-3485363.0404878706,567396.5285299032,310.1442131737156,112,2:47:52
34.7%,1735000,6939.9999998635385,-3487594.019376198,569904.099832593,311.5148749411831,112,2:47:45
34.8%,1737500,6949.999999863302,-3490670.4808823913,568028.1449024602,310.48946055018774,112,2:47:37
34.8%,1740000,6959.999999863066,-3488044.5218593515,569249.6302423035,311.15713578360953,112,2:47:29
34.9%,1742500,6969.999999862829,-3486988.8726793267,567700.896346487,310.3105834496043,112,2:47:21
34.9%,1745000,6979.999999862593,-3488293.5760054793,568995.0042492365,311.0179548505187,112,2:47:14
35.0%,1747500,6989.999999862356,-3487896.378915176,570110.6233393082,311.62776260839894,112,2:47:06
35.0%,1750000,6999.99999986212,-3492790.6789970286,570286.8700658388,311.7241007063177,112,2:46:58
35.0%,1752500,7009.999999861883,-3491986.402643308,565503.0105125792,309.1091986361139,112,2:46:51
35.1%,1755000,7019.999999861647,-3491778.2822862137,569897.6235050985,311.5113349204145,112,2:46:43
35.1%,1757500,7029.99999986141,-3487756.4231374133,569349.2884526651,311.2116098871417,112,2:46:35
35.2%,1760000,7039.999999861174,-3488517.54769988,568279.9301374494,310.6270886985249,112,2:46:28
35.2%,1762500,7049.999999860937,-3489596.494037688,570571.6488315783,311.87976342504754,112,2:46:20
35.3%,1765000,7059.999999860701,-3488756.7477172166,569784.9726068716,311.44975889300315,112,2:46:12
35.4%,1767500,7069.999999860464,-3488708.511164127,571361.6510077693,312.3115859530688,112,2:46:05
35.4%,1770000,7079.999999860228,-3488782.7781123575,569663.6991278722,311.3834696828443,112,2:45:57
35.5%,1772500,7089.9999998599915,-3488373.9900563657,568883.9138269022,310.9572317937257,112,2:45:49
35.5%,1775000,7099.999999859755,-3486670.3418622594,568656.843916059,310.83311327115325,112,2:45:42
35.5%,1777500,7109.9999998595185,-3489707.3476518225,570441.9058454644,311.8088447036247,112,2:45:34
35.6%,1780000,7119.999999859282,-3487757.821253076,568865.55337142,310.94719579820463,112,2:45:26
35.6%,1782500,7129.999999859046,-3485167.5347191934,569089.5279916252,311.06962240616156,112,2:45:18
35.7%,1785000,7139.999999858809,-3488275.1730346866,569757.4889525173,311.4347360722309,112,2:45:11
35.8%,1787500,7149.999999858573,-3486686.731503295,572107.0733071928,312.71904070633605,112,2:45:03
35.8%,1790000,7159.999999858336,-3487339.3539807927,567990.4254985055,310.4688427736017,112,2:44:55
35.9%,1792500,7169.9999998581,-3487817.7905039787,570119.4063496768,311.6325634834538,112,2:44:47
35.9%,1795000,7179.999999857863,-3486083.550210869,567570.4356850246,310.2392724401693,112,2:44:40
36.0%,1797500,7189.999999857627,-3489602.9752586447,568096.8617735298,310.5270218302415,112,2:44:32
36.0%,1800000,7199.99999985739,-3486560.1250624284,569181.966932406,311.1201503898792,112,2:44:24
36.0%,1802500,7209.999999857154,-3488142.767022386,568311.7651431444,310.6444900083606,112,2:44:16
36.1%,1805000,7219.999999856917,-3490427.2029779367,569310.1248068768,311.1902026745535,112,2:44:09
36.1%,1807500,7229.999999856681,-3486798.392604595,569988.773729553,311.56115847981715,112,2:44:01
36.2%,1810000,7239.999999856444,-3490679.5276649,570047.5297180923,311.59327504895083,112,2:43:53
36.2%,1812500,7249.999999856208,-3490962.9741834067,570017.3827444998,311.5767964331429,112,2:43:45
36.3%,1815000,7259.9999998559715,-3489350.38280306,569640.0133727165,311.37052282905364,112,2:43:38
36.4%,1817500,7269.999999855735,-3491331.3196464125,567821.4540244658,310.376481396276,112,2:43:30
36.4%,1820000,7279.999999855499,-3489643.634284271,568500.0267856382,310.7473955709542,112,2:43:22
36.5%,1822500,7289.999999855262,-3489969.665115373,567925.3386992775,310.4332657245372,112,2:43:14
36.5%,1825000,7299.999999855026,-3490008.2683666106,571079.1256083124,312.1571549452811,112,2:43:07
36.5%,1827500,7309.999999854789,-3489846.3346805666,569992.555426365,311.56322559042366,112,2:42:59
36.6%,1830000,7319.999999854553,-3486997.6945989765,569710.8896723599,311.40926447282527,112,2:42:51
36.6%,1832500,7329.999999854316,-3490969.511116842,570256.93807994,311.70773960478016,112,2:42:43
36.7%,1835000,7339.99999985408,-3485909.6051161475,569113.2046858413,311.0825643071584,112,2:42:36
36.8%,1837500,7349.999999853843,-3490736.7338718567,570415.7462903063,311.794545647773,112,2:42:28
36.8%,1840000,7359.999999853607,-3486219.535113957,569240.097792032,311.151925257742,112,2:42:20
36.9%,1842500,7369.99999985337,-3490309.719732458,569572.2016743731,311.3334563248204,112,2:42:12
36.9%,1845000,7379.999999853134,-3489527.6427828334,568627.7350307424,310.81720208403993,112,2:42:05
37.0%,1847500,7389.999999852897,-3488199.019324716,571734.9048431466,312.51560996672833,112,2:41:57
37.0%,1850000,7399.999999852661,-3489918.8165775575,569029.6007293651,311.03686560793176,112,2:41:49
37.0%,1852500,7409.9999998524245,-3488645.859869359,568388.2407571757,310.68629228939,112,2:41:42
37.1%,1855000,7419.999999852188,-3486570.557994943,570477.9735849777,311.8285596650843,112,2:41:34
37.1%,1857500,7429.9999998519515,-3490300.9454370514,570237.7889600722,311.69727251797974,112,2:41:27
37.2%,1860000,7439.999999851715,-3489843.9444071297,568890.9499151416,310.9610777849173,112,2:41:19
