#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
4.0%,200000,800.0000000023637,-3516132.629468903,573170.534686953,310.69093208716515,221,2:04:51
4.0%,202500,810.0000000024114,-3521595.9873162247,572354.0749521705,310.2483646126355,221,2:04:46
4.1%,205000,820.0000000024592,-3519766.8209283147,574681.4597921899,311.50993917292953,221,2:04:44
4.2%,207500,830.0000000025069,-3516833.8925813176,573836.0903660222,311.0517010063122,221,2:04:41
4.2%,210000,840.0000000025547,-3517472.9334505163,574082.8213040187,311.1854431658647,221,2:04:39
4.2%,212500,850.0000000026024,-3518117.318198176,570764.2859532933,309.3866088244514,221,2:04:37
4.3%,215000,860.0000000026502,-3515832.628908178,573991.2349044743,311.1357981438007,221,2:04:33
4.3%,217500,870.0000000026979,-3518837.3350392506,572725.8719141815,310.44989964921496,221,2:04:32
4.4%,220000,880.0000000027457,-3513786.235525837,574065.7595049319,311.17619470325087,221,2:04:28
4.5%,222500,890.0000000027934,-3517861.6784820054,572907.0562104629,310.548111812061,221,2:04:25
4.5%,225000,900.0000000028411,-3517890.9525276385,574173.0651132902,311.2343604278676,221,2:04:19
4.5%,227500,910.0000000028889,-3516987.1883127466,571822.6522893806,309.9603033944771,221,2:04:13
4.6%,230000,920.0000000029366,-3518560.369053066,572695.769222344,310.43358228323166,221,2:04:10
4.7%,232500,930.0000000029844,-3517099.6161988433,571440.8653867975,309.75335324361663,221,2:04:08
4.7%,235000,940.0000000030321,-3518437.364972707,573074.831546514,310.6390555580918,221,2:04:05
4.8%,237500,950.0000000030799,-3518207.655612638,574480.2488757437,311.4008714463219,221,2:04:01
4.8%,240000,960.0000000031276,-3519746.584688561,575250.912362829,311.81861475767136,221,2:03:57
4.8%,242500,970.0000000031754,-3514374.7707769834,572503.4803822354,310.32935082793546,221,2:03:51
4.9%,245000,980.0000000032231,-3517222.8433674164,573894.9783071154,311.08362160969233,221,2:03:49
