#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
53.2%,2662500,10650.000000334692,-3527907.867298806,577581.5544014671,312.29025632115423,273,49:13
53.3%,2665000,10660.00000033673,-3529598.665779395,575557.2907357005,311.19576531079133,273,49:10
53.4%,2667500,10670.000000338767,-3525152.35952363,577973.8333056578,312.5023560300275,273,49:07
53.4%,2670000,10680.000000340804,-3531773.6444596183,574170.9101970943,310.4461687725005,273,49:04
53.5%,2672500,10690.000000342841,-3528447.3169277497,576785.5400118446,311.85986249040224,273,49:01
53.5%,2675000,10700.000000344879,-3529181.6866945103,575457.0397956313,311.1415610317037,273,48:58
53.5%,2677500,10710.000000346916,-3531814.2614455335,576075.7689018035,311.47609919291654,273,48:54
53.6%,2680000,10720.000000348953,-3530649.5278495457,575643.2140417292,311.24222283883944,273,48:51
53.6%,2682500,10730.00000035099,-3527323.171186691,577930.311804741,312.4788245640844,273,48:48
53.7%,2685000,10740.000000353028,-3529458.928994186,576330.036363015,311.6135780476873,273,48:45
53.8%,2687500,10750.000000355065,-3526417.939799901,577533.6096544965,312.26433326802595,273,48:42
53.8%,2690000,10760.000000357102,-3528309.5012518615,576169.6108031127,311.52683819451755,273,48:39
53.9%,2692500,10770.00000035914,-3526110.251848586,576020.7547896421,311.4463538330495,273,48:35
53.9%,2695000,10780.000000361177,-3528635.2578023467,574959.9401802936,310.87278623252956,273,48:32
54.0%,2697500,10790.000000363214,-3529013.436352294,574827.4210645343,310.80113500282437,273,48:29
54.0%,2700000,10800.000000365251,-3527832.4314782433,575886.1005310013,311.3735481614951,273,48:26
54.0%,2702500,10810.000000367289,-3528295.851239823,573450.0445248812,310.056406800649,273,48:23
54.1%,2705000,10820.000000369326,-3527849.2330339644,574157.7752317409,310.43906688071445,273,48:20
54.1%,2707500,10830.000000371363,-3528783.0554095507,573788.3521523189,310.23932499615375,273,48:16
54.2%,2710000,10840.0000003734,-3531024.056334939,576181.0631368958,311.533030310982,273,48:13
54.2%,2712500,10850.000000375438,-3529389.0281673335,577228.0744354723,312.0991346547096,273,48:10
54.3%,2715000,10860.000000377475,-3524597.078962434,574839.9237307893,310.80789501934447,273,48:07
54.4%,2717500,10870.000000379512,-3526409.580058029,575155.8554481275,310.9787148736761,273,48:04
54.4%,2720000,10880.00000038155,-3528851.877546422,575958.2107966885,311.4125371721088,273,48:01
54.5%,2722500,10890.000000383587,-3527509.839696208,576460.9858565187,311.68438060462455,273,47:58
54.5%,2725000,10900.000000385624,-3532419.6327762194,574132.6771827542,310.42549671717387,273,47:54
54.5%,2727500,10910.000000387661,-3526358.4035240524,576464.4546986707,311.6862561589883,273,47:51
54.6%,2730000,10920.000000389698,-3531927.0821574293,573663.0588695446,310.17158067313176,273,47:48
54.6%,2732500,10930.000000391736,-3529367.017112801,576343.6609536704,311.62094467301597,273,47:45
54.7%,2735000,10940.000000393773,-3525922.67781456,576941.1811644242,311.94401548154747,273,47:42
54.8%,2737500,10950.00000039581,-3527955.621574715,575521.1353364801,311.17621659285896,273,47:39
54.8%,2740000,10960.000000397848,-3527284.0086552463,576186.0847181953,311.5357454096537,273,47:35
54.9%,2742500,10970.000000399885,-3529383.2191320583,575510.9420507478,311.1707052260402,273,47:32
54.9%,2745000,10980.000000401922,-3527014.762778042,575295.6286150154,311.05428826721965,273,47:29
55.0%,2747500,10990.00000040396,-3530745.961111171,575636.9272249017,311.2388236450399,273,47:26
55.0%,2750000,11000.000000405997,-3527814.721282417,576695.9351619179,311.8114144031357,273,47:23
55.0%,2752500,11010.000000408034,-3525193.582298413,574413.2964679868,310.5772236340848,273,47:20
55.1%,2755000,11020.000000410071,-3529109.898439599,575973.9589952925,311.4210520025101,273,47:16
55.1%,2757500,11030.000000412108,-3530347.5406018775,574322.167183359,310.52795130632796,273,47:13
55.2%,2760000,11040.000000414146,-3527979.210880678,575315.3958737932,311.06497614716216,273,47:10
55.2%,2762500,11050.000000416183,-3526146.726343952,575983.4339253316,311.4261749644676,273,47:07
55.3%,2765000,11060.00000041822,-3529469.266778527,576023.3087642081,311.4477347313241,273,47:04
55.4%,2767500,11070.000000420257,-3528095.9499352407,574688.7562811817,310.72616089673335,273,47:01
55.4%,2770000,11080.000000422295,-3527721.1738466956,577709.8754877918,312.3596377351457,273,46:58
55.5%,2772500,11090.000000424332,-3527867.6225005537,575917.7094458829,311.3906386590278,273,46:54
55.5%,2775000,11100.00000042637,-3526693.1055219527,576303.4896411991,311.5992246070395,273,46:51
55.5%,2777500,11110.000000428407,-3527869.533990752,575060.6236051018,310.9272243500578,273,46:48
55.6%,2780000,11120.000000430444,-3527454.4858592693,571862.4601670083,309.19802217552825,273,46:45
55.6%,2782500,11130.000000432481,-3527160.863281822,576187.1427454259,311.53631747015766,273,46:42
55.7%,2785000,11140.000000434518,-3530592.1479417216,575152.7745063911,310.9770490516338,273,46:39
55.8%,2787500,11150.000000436556,-3526419.03774509,574781.3374614062,310.7762182441027,273,46:35
55.8%,2790000,11160.000000438593,-3527146.4839106053,576036.3386825317,311.4547798256525,273,46:32
55.9%,2792500,11170.00000044063,-3527326.3953081165,575568.3438520024,311.20174157595557,273,46:29
55.9%,2795000,11180.000000442667,-3526450.930473136,575948.5609905437,311.40731965709045,273,46:26
56.0%,2797500,11190.000000444705,-3527573.2084488478,576034.1726623456,311.4536086888772,273,46:23
56.0%,2800000,11200.000000446742,-3527624.1598649863,574181.1526581687,310.451706727738,273,46:20
56.0%,2802500,11210.00000044878,-3527527.1709240545,574224.0194204021,310.474884185646,273,46:16
56.1%,2805000,11220.000000450817,-3529849.290166883,576496.8320452946,311.7037621368006,273,46:13
56.1%,2807500,11230.000000452854,-3526622.184795739,575229.2906521419,311.01842025988503,273,46:10
56.2%,2810000,11240.000000454891,-3527868.748906022,576209.9158956339,311.5486305934932,273,46:07
56.2%,2812500,11250.000000456928,-3528617.6933637653,575026.564137479,310.9088088729827,273,46:04
56.3%,2815000,11260.000000458966,-3527625.2490112204,575758.9425725661,311.3047956344617,273,46:01
56.4%,2817500,11270.000000461003,-3526917.7860419974,577818.4585772161,312.41834709068183,273,45:57
56.4%,2820000,11280.00000046304,-3526260.112946268,574015.7967216497,310.36230108899105,273,45:54
56.5%,2822500,11290.000000465077,-3533171.5816886015,575260.1145351582,311.035086301684,273,45:51
56.5%,2825000,11300.000000467115,-3529599.7524109315,576707.5964251119,311.81771948480616,273,45:48
56.5%,2827500,11310.000000469152,-3529217.34628338,574609.6841435209,310.6834076994579,273,45:45
56.6%,2830000,11320.00000047119,-3531046.2875911985,575774.5021762527,311.3132084942327,273,45:42
56.6%,2832500,11330.000000473226,-3525582.5660378505,575750.6347565099,311.30030371468706,273,45:38
56.7%,2835000,11340.000000475264,-3524599.3931878824,576094.9362057726,311.4864626856975,273,45:35
56.8%,2837500,11350.000000477301,-3529607.2427678183,572687.4317830259,309.6440727729902,273,45:32
56.8%,2840000,11360.000000479338,-3529915.3758448493,576125.3863169359,311.502926634291,273,45:29
56.9%,2842500,11370.000000481376,-3527119.706078436,574869.5463744159,310.8239115678311,273,45:26
56.9%,2845000,11380.000000483413,-3527637.043508049,573693.6572071124,310.1881247656659,273,45:23
57.0%,2847500,11390.00000048545,-3528492.1766804624,574335.3245320173,310.5350653004535,273,45:20
