#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
12.3%,615000,2459.9999999694764,-3519140.8568747677,574177.3823324973,311.2114537680219,112,3:46:26
12.3%,617500,2469.99999996924,-3517472.094244808,573314.82231445,310.7439352529453,112,3:46:19
12.4%,620000,2479.9999999690035,-3520167.027059894,573563.7269786604,310.87884475091937,112,3:46:11
12.4%,622500,2489.999999968767,-3519848.852302663,575194.121836221,311.7625395279169,112,3:46:03
12.5%,625000,2499.9999999685306,-3518094.8967920076,575625.4986280084,311.99635124294576,112,3:45:55
12.6%,627500,2509.999999968294,-3518293.5511465874,575268.0400371621,311.8026041342261,112,3:45:47
12.6%,630000,2519.9999999680576,-3520595.948312858,574413.20194,311.33927099861324,112,3:45:39
12.7%,632500,2529.999999967821,-3519628.530652065,573359.507398282,310.7681551374775,112,3:45:31
12.7%,635000,2539.9999999675847,-3519105.5915924218,573334.423370811,310.75455927512587,112,3:45:23
12.8%,637500,2549.9999999673482,-3518713.4158472884,573855.6709850489,311.0370821204896,112,3:45:15
12.8%,640000,2559.9999999671118,-3524029.972684739,574148.6083419706,311.19585789869984,112,3:45:08
12.8%,642500,2569.9999999668753,-3517759.6330233794,575095.8633902615,311.709282198818,112,3:45:00
12.9%,645000,2579.999999966639,-3519464.1233431585,573552.0275629429,310.8725035186004,112,3:44:52
12.9%,647500,2589.9999999664024,-3518522.5364147276,573029.5996432607,310.5893409326538,112,3:44:45
13.0%,650000,2599.999999966166,-3517448.46973766,575848.7179170952,312.11733894048194,112,3:44:37
13.1%,652500,2609.9999999659294,-3517512.2889501713,574386.0272229515,311.32454195588423,112,3:44:29
13.1%,655000,2619.999999965693,-3519156.4888166375,575305.3195630019,311.8228101120116,112,3:44:22
13.2%,657500,2629.9999999654565,-3520362.514645977,573572.5727941315,310.8836392955622,112,3:44:14
13.2%,660000,2639.99999996522,-3517392.817718612,576757.960040917,312.6101597514171,112,3:44:06
13.2%,662500,2649.9999999649835,-3522449.284585962,572883.3524189729,310.51007307453085,112,3:43:58
13.3%,665000,2659.999999964747,-3519340.4552272223,575673.9198523939,312.0225961632403,112,3:43:51
13.3%,667500,2669.9999999645106,-3517801.672758341,573154.5894064358,310.6570869761253,112,3:43:43
13.4%,670000,2679.999999964274,-3519907.038292749,573579.4019915359,310.88734080752994,112,3:43:35
13.4%,672500,2689.9999999640377,-3521835.1231415626,574919.9385036784,311.6139286697655,112,3:43:27
13.5%,675000,2699.999999963801,-3522506.7852984946,573530.0074010551,310.86056831041526,112,3:43:19
13.6%,677500,2709.9999999635647,-3519501.3322522324,573076.5337038568,310.6147797912344,112,3:43:12
13.6%,680000,2719.9999999633283,-3519531.227428913,573412.952490525,310.7971230581332,112,3:43:04
13.7%,682500,2729.999999963092,-3518817.163981093,575339.5882557041,311.84138417989163,112,3:42:56
13.7%,685000,2739.9999999628553,-3521399.803533299,573491.6310236678,310.8397678251218,112,3:42:48
13.8%,687500,2749.999999962619,-3520817.8455062993,572228.3740555891,310.1550664599769,112,3:42:40
13.8%,690000,2759.9999999623824,-3523077.351676915,572586.8238264549,310.34935080089053,112,3:42:33
13.8%,692500,2769.999999962146,-3521242.622071285,573960.5960803083,311.09395285841345,112,3:42:25
13.9%,695000,2779.9999999619095,-3517795.640095249,573419.9964708914,310.80094098520175,112,3:42:17
13.9%,697500,2789.999999961673,-3519064.79428258,571806.6061386012,309.92646287746504,112,3:42:09
14.0%,700000,2799.9999999614365,-3520003.662155386,575748.4798874669,312.0630086518231,112,3:42:02
14.1%,702500,2809.9999999612,-3524305.6692820396,574304.8904550498,311.28056479434895,112,3:41:54
14.1%,705000,2819.9999999609636,-3522435.313139906,572033.6623665626,310.04953024473735,112,3:41:46
14.2%,707500,2829.999999960727,-3520323.9748395868,575151.7620128152,311.73957996414947,112,3:41:38
14.2%,710000,2839.9999999604906,-3519826.6877238564,575034.326566538,311.67592845664603,112,3:41:30
14.2%,712500,2849.999999960254,-3518825.904971659,575607.7553420844,311.98673415600206,112,3:41:22
14.3%,715000,2859.9999999600177,-3520003.203713918,573425.0389447314,310.8036740702423,112,3:41:15
14.3%,717500,2869.9999999597812,-3519099.364724612,573042.3253118227,310.59623840708457,112,3:41:07
14.4%,720000,2879.9999999595448,-3521174.660250228,573231.4591301886,310.6987513453881,112,3:40:59
14.4%,722500,2889.9999999593083,-3521828.606735632,575762.9123030046,312.07083120485134,112,3:40:52
14.5%,725000,2899.999999959072,-3517178.2147972286,573510.9998000794,310.8502659486116,112,3:40:44
14.6%,727500,2909.9999999588354,-3520277.8167628367,573107.5126927695,310.6315707977638,112,3:40:36
14.6%,730000,2919.999999958599,-3520769.841637023,573184.3793616998,310.67323351127396,112,3:40:28
14.7%,732500,2929.9999999583624,-3517533.0510106925,574212.782930749,311.2306413431253,112,3:40:20
14.7%,735000,2939.999999958126,-3518591.5061213877,571913.0313903628,309.9841467193186,112,3:40:13
14.8%,737500,2949.9999999578895,-3518243.4822595045,575697.2278179638,312.0352293774221,112,3:40:05
14.8%,740000,2959.999999957653,-3517394.0952365343,574699.1228392632,311.49424376741314,112,3:39:57
14.8%,742500,2969.9999999574165,-3517961.062734967,573578.5854253821,310.88689821827506,112,3:39:49
14.9%,745000,2979.99999995718,-3519530.6685697194,573943.7851692609,311.08484113052725,112,3:39:41
14.9%,747500,2989.9999999569436,-3522855.0580489077,573027.312773668,310.5881014202097,112,3:39:34
