compound_id,smiles,cnn_affinity,type,has_smiles,drug_name,final_smiles
401474,SMILES O=C(O)Cc1ccc(Oc2nc3ccccc3nc2-c2cccs2)cc1,6.12988806,Natural,True,,SMILES O=C(O)Cc1ccc(Oc2nc3ccccc3nc2-c2cccs2)cc1
201140,SMILES COc1ccc2c(c1O)C13CCCCC1C(C2)N(C)CC3,4.37590551,Natural,True,,SMILES COc1ccc2c(c1O)C13CCCCC1C(C2)N(C)CC3
401861,SMILES COc1cccc(CCN2CCN(CCCc3ccccc3)CC2)c1,3.97461581,Natural,True,,SMILES COc1cccc(CCN2CCN(CCCc3ccccc3)CC2)c1
201363,SMILES ClC1=C(Cl)C2(Cl)C3C4C=CC(O4)C3C1(Cl)C2(Cl)Cl,5.14394712,Natural,True,,SMILES ClC1=C(Cl)C2(Cl)C3C4C=CC(O4)C3C1(Cl)C2(Cl)Cl
400549,SMILES Oc1cccc(-c2cc(=S)ss2)c1,4.06686592,Natural,True,,SMILES Oc1cccc(-c2cc(=S)ss2)c1
300764,SMILES O=[N+]([O-])c1cccc(-c2nnc(-c3ccccc3O)o2)c1,4.14388132,Natural,True,,SMILES O=[N+]([O-])c1cccc(-c2nnc(-c3ccccc3O)o2)c1
200401,,3.65987206,Natural,False,,
5324,SMILES NC(N)=NS(=O)(=O)c1ccc(N)cc1,3.77280235,Natural,True,,SMILES NC(N)=NS(=O)(=O)c1ccc(N)cc1
5627,SMILES CSC(N)=C(C#N)C(C#N)=C(N)SC,3.29082179,Natural,True,,SMILES CSC(N)=C(C#N)C(C#N)=C(N)SC
301351,SMILES CCSC1C(O)C(CO)OC1n1ccc(=O)[nH]c1=O,4.67334366,Natural,True,,SMILES CCSC1C(O)C(CO)OC1n1ccc(=O)[nH]c1=O
301395,SMILES CCOC1c2cnc(C)n2C=CN1C(C)=O,3.32850337,Natural,True,,SMILES CCOC1c2cnc(C)n2C=CN1C(C)=O
300298,SMILES Cc1ccc(S(=O)(=O)OCC23Cc4ccccc4C4C(c5ccccc5C2)C43)cc1,5.01061964,Natural,True,,SMILES Cc1ccc(S(=O)(=O)OCC23Cc4ccccc4C4C(c5ccccc5C2)C43)cc1
6872,SMILES O=C(Nc1ccccc1)c1ccccc1O,3.20668149,Natural,True,,SMILES O=C(Nc1ccccc1)c1ccccc1O
20916,SMILES [NH3+]CCCSC1=NCC[NH2+]1,3.0445652,Natural,True,,SMILES [NH3+]CCCSC1=NCC[NH2+]1
